# 모델이 틀리게 옮긴 뜻을 사람이 고친 것.
#
# 색인에 실린 뜻을 빈도 상위부터 훑어 보니 **넷 중 하나가 틀리거나 부정확했다.**
# 그것도 가장 흔한 낱말부터 그랬다 — 来る 가 "오래오래 기다려라", 取る 가 "다녀가다",
# 相手 가 "동료, 사촌" 이었다.
#
# 틀리는 방식은 몇 가지로 갈린다.
#   ① 딴 낱말   見る → "보다, 보내다"(送る) · 臓物 → "간장, 찹쌀국수"
#   ② 품사 어긋남  違う → "다름, 다른"(동사인데 명사) · 歩く → "걸을, 걷다"
#   ③ 같은 말 두 번  聞く → "듣다, 듣는다" · 入れる → "넣다, 넣는다"
#   ④ 설명문     教える → "선생님이 가르치는 것, 학생이 배우는 것"
#
# ③④는 tidy 가 길이와 중복으로 거르지만, ①②는 짧고 한국어라 **걸러낼 방법이 없다.**
# 모델을 바꿔서 풀 문제도 아니다(qwen 3B·7B 와 견줘 Apple 모델이 나았다).
# 남은 길은 사람이 보는 것이라, 빈도 상위부터 훑어 고친다.
#
# 색인 구울 때 모델 것보다 나중에 넣어 이기게 한다. 다듬지 않고 그대로 싣는다.
言う	いう	말하다
見る	みる	보다
行く	いく	가다
来る	くる	오다
自分	じぶん	자신, 스스로
知る	しる	알다
聞く	きく	듣다, 묻다
何	なに	무엇
前	まえ	앞, 이전
出る	でる	나가다, 나오다
話	はなし	이야기
何	なん	무엇, 몇
待つ	まつ	기다리다
持つ	もつ	들다, 가지다
声	こえ	목소리
見える	みえる	보이다
言葉	ことば	말, 언어
違う	ちがう	다르다, 틀리다
少し	すこし	조금
時	とき	때, 시각
彼	かれ	그, 남자친구
出す	だす	내다, 꺼내다
悪い	わるい	나쁘다
時間	じかん	시간
早い	はやい	빠르다, 이르다
感じる	かんじる	느끼다
呼ぶ	よぶ	부르다
強い	つよい	강하다, 세다
相手	あいて	상대
食べる	たべる	먹다
動く	うごく	움직이다
歩く	あるく	걷다
意味	いみ	의미, 뜻
大きい	おおきい	크다
向かう	むかう	향하다
年	ねん	해, 년
教える	おしえる	가르치다, 알려주다
立つ	たつ	서다
間	あいだ	사이, 동안
忘れる	わすれる	잊다
大きな	おおきな	큰
信じる	しんじる	믿다
問題	もんだい	문제
以上	いじょう	이상
絶対	ぜったい	절대, 반드시
開く	ひらく	열다, 열리다
今度	こんど	이번, 다음번
存在	そんざい	존재
誰か	だれか	누군가
初めて	はじめて	처음으로
取る	とる	잡다, 가지다
高い	たかい	높다, 비싸다
入れる	いれる	넣다
置く	おく	놓다, 두다
無理	むり	무리, 불가능
残る	のこる	남다
長い	ながい	길다
守る	まもる	지키다, 보호하다
楽しい	たのしい	즐겁다, 재미있다
驚く	おどろく	놀라다
別に	べつに	별로, 딱히
離れる	はなれる	떨어지다, 멀어지다
消える	きえる	사라지다, 꺼지다
助ける	たすける	돕다, 구하다
困る	こまる	곤란하다, 난처하다
方	かた	분, 쪽
飲む	のむ	마시다
走る	はしる	달리다
以外	いがい	이외, 그 밖
買う	かう	사다
足	あし	발, 다리
読む	よむ	읽다
起きる	おきる	일어나다
先	さき	앞, 끝
伝える	つたえる	전하다, 알리다
先に	さきに	먼저
小さい	ちいさい	작다
理解	りかい	이해
得る	える	얻다
深い	ふかい	깊다
進む	すすむ	나아가다, 전진하다
大変	たいへん	매우, 큰일
変える	かえる	바꾸다
別	べつ	다름, 별개
本	ほん	책
完全	かんぜん	완전하다
送る	おくる	보내다
上げる	あげる	올리다
近づく	ちかづく	다가가다
乗る	のる	타다
与える	あたえる	주다
勝手	かって	제멋대로
新しい	あたらしい	새롭다
急	きゅう	갑작스럽다, 급하다
決まる	きまる	정해지다
近い	ちかい	가깝다
失う	うしなう	잃다
残す	のこす	남기다
安心	あんしん	안심
認める	みとめる	인정하다, 알아보다
求める	もとめる	구하다, 원하다
少ない	すくない	적다
似る	にる	닮다
用	よう	볼일, 용무
元気	げんき	건강하다, 기운차다
後	ご	뒤, 후
生活	せいかつ	생활
切る	きる	자르다, 끊다
働く	はたらく	일하다
若い	わかい	젊다
急ぐ	いそぐ	서두르다
必ず	かならず	반드시
途中	とちゅう	도중, 가는 길
重い	おもい	무겁다
集まる	あつまる	모이다
考え	かんがえ	생각
住む	すむ	살다
大切	たいせつ	소중하다, 중요하다
広い	ひろい	넓다
自由	じゆう	자유
俺	おれ	나
お前	おまえ	너, 당신
彼女	かのじょ	그녀, 여자친구
大丈夫	だいじょうぶ	괜찮다
僕	ぼく	나
笑う	わらう	웃다
分かる	わかる	알다, 이해하다
君	きみ	너, 그대
確かに	たしかに	확실히
聞こえる	きこえる	들리다
他	ほか	다른 것, 그 밖
事	こと	일, 것
一人	ひとり	한 사람, 혼자
怖い	こわい	무섭다
欲しい	ほしい	갖고 싶다, 원하다
寝る	ねる	자다
小さな	ちいさな	작은
優しい	やさしい	다정하다, 상냥하다
明日	あした	내일
泣く	なく	울다
頑張る	がんばる	힘내다, 노력하다
娘	むすめ	딸, 아가씨
今回	こんかい	이번
探す	さがす	찾다
返す	かえす	돌려주다
当然	とうぜん	당연하다
黙る	だまる	입을 다물다
気づく	きづく	알아차리다
向ける	むける	향하게 하다, 돌리다
笑顔	えがお	웃는 얼굴, 미소
軽い	かるい	가볍다
お願い	おねがい	부탁
開ける	あける	열다
痛い	いたい	아프다
落ち着く	おちつく	진정하다, 차분해지다
不思議	ふしぎ	신기하다, 이상하다
戦う	たたかう	싸우다
現れる	あらわれる	나타나다
記憶	きおく	기억
彼ら	かれら	그들
意識	いしき	의식
肩	かた	어깨
触れる	ふれる	닿다, 만지다
結局	けっきょく	결국
全然	ぜんぜん	전혀
上がる	あがる	오르다
動き	うごき	움직임
白い	しろい	하얗다
可能性	かのうせい	가능성
赤い	あかい	빨갛다
失礼	しつれい	실례, 무례
背中	せなか	등
壁	かべ	벽
空	そら	하늘
血	ち	피
服	ふく	옷
恥ずかしい	はずかしい	부끄럽다, 창피하다
過ぎる	すぎる	지나다, 지나치다
突然	とつぜん	갑자기
喜ぶ	よろこぶ	기뻐하다
止まる	とまる	멈추다
父	ちち	아버지
渡す	わたす	건네다, 넘기다
頃	ころ	무렵, 즈음
空気	くうき	공기, 분위기
着る	きる	입다
一体	いったい	도대체
程度	ていど	정도, 수준
届く	とどく	닿다, 도착하다
難しい	むずかしい	어렵다
神	かみ	신
耳	みみ	귀
飛ぶ	とぶ	날다
眠る	ねむる	잠들다
結構	けっこう	꽤, 괜찮다
任せる	まかせる	맡기다
遅い	おそい	늦다, 느리다
正直	しょうじき	솔직하다
動かす	うごかす	움직이다
事件	じけん	사건
起こす	おこす	일으키다, 깨우다
叫ぶ	さけぶ	외치다, 소리치다
引く	ひく	끌다, 당기다
逆	ぎゃく	반대
捨てる	すてる	버리다
甘い	あまい	달다
窓	まど	창문
遊ぶ	あそぶ	놀다
邪魔	じゃま	방해
腰	こし	허리
握る	にぎる	쥐다, 잡다
部分	ぶぶん	부분
無事	ぶじ	무사함
起こる	おこる	일어나다, 생기다
熱い	あつい	뜨겁다
意外	いがい	뜻밖이다, 의외다
流れる	ながれる	흐르다
倒れる	たおれる	쓰러지다
決して	けっして	결코
愛する	あいする	사랑하다
黒い	くろい	검다
冷たい	つめたい	차갑다
合わせる	あわせる	맞추다
楽しむ	たのしむ	즐기다
自然	しぜん	자연, 자연스럽다
納得	なっとく	납득
周り	まわり	주위, 주변
珍しい	めずらしい	드물다, 진귀하다
疲れる	つかれる	지치다, 피곤하다
必死	ひっし	필사적이다
追う	おう	쫓다
激しい	はげしい	격렬하다, 심하다
食う	くう	먹다
慣れる	なれる	익숙해지다
勢い	いきおい	기세
落とす	おとす	떨어뜨리다
感謝	かんしゃ	감사
日本	にほん	일본
並ぶ	ならぶ	줄을 서다, 늘어서다
避ける	さける	피하다
連絡	れんらく	연락
奪う	うばう	빼앗다
過ごす	すごす	보내다, 지내다
向く	むく	향하다
諦める	あきらめる	포기하다
望む	のぞむ	바라다, 원하다
一応	いちおう	일단, 어느 정도
救う	すくう	구하다
時代	じだい	시대
終わり	おわり	끝
繰り返す	くりかえす	되풀이하다, 반복하다
助かる	たすかる	살아나다, 도움이 되다
点	てん	점
運ぶ	はこぶ	나르다, 옮기다
素直	すなお	솔직하다, 순순하다
態度	たいど	태도
全く	まったく	전혀, 완전히
木	き	나무
示す	しめす	보이다, 나타내다
冗談	じょうだん	농담
雰囲気	ふんいき	분위기
移動	いどう	이동
描く	えがく	그리다
余裕	よゆう	여유
出会う	であう	만나다, 마주치다
質問	しつもん	질문
人々	ひとびと	사람들
現実	げんじつ	현실
遠い	とおい	멀다
あの人	あのひと	그 사람
暗い	くらい	어둡다
休む	やすむ	쉬다
一緒	いっしょ	함께
伝わる	つたわる	전해지다
多く	おおく	많음, 다수
残念	ざんねん	아쉽다, 유감스럽다
終える	おえる	끝내다
覚悟	かくご	각오
勉強	べんきょう	공부
我慢	がまん	참음, 인내
相談	そうだん	상담, 의논
増える	ふえる	늘다, 증가하다
離す	はなす	떼다, 놓다
半分	はんぶん	절반
回る	まわる	돌다
弱い	よわい	약하다
立てる	たてる	세우다
この人	このひと	이 사람
降りる	おりる	내리다
打つ	うつ	치다, 때리다
席	せき	자리, 좌석
広がる	ひろがる	넓어지다, 퍼지다
振る	ふる	흔들다
集める	あつめる	모으다
直接	ちょくせつ	직접
明るい	あかるい	밝다
件	けん	건, 사안
当たり前	あたりまえ	당연하다
抱える	かかえる	안다, 떠안다
連れる	つれる	데리고 가다
忙しい	いそがしい	바쁘다
寂しい	さびしい	외롭다, 쓸쓸하다
誘う	さそう	권하다, 꾀다
協力	きょうりょく	협력
抜ける	ぬける	빠지다
詳しい	くわしい	자세하다, 상세하다
押す	おす	밀다, 누르다
断る	ことわる	거절하다
抱く	いだく	껴안다, 품다
苦しい	くるしい	괴롭다, 힘들다
無視	むし	무시
余計	よけい	쓸데없다, 여분
父親	ちちおや	아버지
通る	とおる	지나가다, 통과하다
暮らす	くらす	살다, 지내다
否定	ひてい	부정
借りる	かりる	빌리다
面倒	めんどう	귀찮음, 성가심
人たち	ひとたち	사람들
厳しい	きびしい	엄하다, 혹독하다
危ない	あぶない	위험하다
隠れる	かくれる	숨다
裏	うら	뒤, 뒷면
短い	みじかい	짧다
恐ろしい	おそろしい	무섭다, 끔찍하다
大人	おとな	어른
輝く	かがやく	빛나다
耐える	たえる	견디다, 참다
悲しい	かなしい	슬프다
迷う	まよう	헤매다, 망설이다
包む	つつむ	싸다, 감싸다
川	かわ	강
着く	つく	도착하다, 닿다
願う	ねがう	바라다, 빌다
方向	ほうこう	방향
戻す	もどす	되돌리다
一部	いちぶ	일부
客	きゃく	손님
